iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_relaxed,CI_left_relaxed,CI_right_relaxed,CI_df_left_relaxed,CI_df_right_relaxed,CI_boot_left_relaxed,CI_boot_right_relaxed,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,0.916842158971775,0.721608448706082,1.11207586923747,0.720585245474437,1.11309907246911,-1959.04714238108,1960.88082669903,0.921012277909724,0.728811043604484,1.11321351221496,0.727998676912579,1.11402587890687,-1959.04297226214,1960.88499681796,0.458516219826041,-0.396590648589256,1.31362308824134,0.492825506707156,-0.362281361708141,1.34793237512245,0.997427422878768,0.805636928066233,1.1892179176913,5,2500
2,ATE_intercept,1.03447982165525,0.84142274142427,1.22753690188623,0.840253868503141,1.22870577480736,-1958.9295047184,1960.99846436171,1.0408467913634,0.84912183792202,1.23257174480477,0.84835030581709,1.2333432769097,-1958.92313774869,1961.00483133142,1.11661115511223,0.434321151375636,1.79890115884882,1.12162361596129,0.439333612224698,1.80391361969788,0.952770005374157,0.763665206963249,1.14187480378507,5,2500
3,ATE_intercept,1.1338985485539,0.943977086975794,1.32382001013201,0.942981724786646,1.32481537232116,-1958.8300859915,1961.09788308861,1.14225907540629,0.953026323096266,1.33149182771632,0.951996113988968,1.33252203682362,-1958.82172546465,1961.10624361546,1.0421716889279,0.89150381517008,1.19283956268572,1.05978633209495,0.909118458337132,1.21045420585277,1.15043817536749,0.957767411443264,1.34310893929172,5,2500
4,ATE_intercept,1.05595772369652,0.871009548415809,1.24090589897722,0.869889771230537,1.24202567616249,-1958.90802681636,1961.01994226375,1.08392846486877,0.900318644588087,1.26753828514945,0.899505389944638,1.2683515397929,-1958.88005607518,1961.04791300492,0.431897883659268,-0.605957612007822,1.46975337932636,0.372684985127272,-0.665170510539818,1.41054048079436,1.07698230673726,0.891231421234682,1.26273319223983,5,2500
5,ATE_intercept,1.03289458709307,0.836589898453555,1.22919927573258,0.835521188753077,1.23026798543305,-1958.93108995296,1960.99687912715,1.01894482964837,0.821930864285532,1.21595879501122,0.821217760933313,1.21667189836343,-1958.94503971041,1960.9829293697,1.39432632160709,1.11473240454507,1.6739202386691,1.34672455821448,1.06713064115247,1.62631847527649,1.00599752037759,0.808133309341604,1.20386173141357,5,2500
6,ATE_intercept,0.721672710698785,0.526476864681755,0.916868556715815,0.525334783003231,0.91801063839434,-1959.24231182935,1960.68565725075,0.717190923055061,0.522259805693946,0.912122040416176,0.521158935447154,0.913222910662968,-1959.246793617,1960.68117546311,0.79574052692824,0.4071712349383,1.18430981891818,0.783596144017791,0.395026852027851,1.17216543600773,0.690802258980127,0.493158982089949,0.888445535870306,5,2500
7,ATE_intercept,0.908064763899951,0.722879705352128,1.09324982244777,0.721304272378297,1.09482525542161,-1959.05591977615,1960.87204930395,0.913767287285767,0.729930617042162,1.09760395752937,0.728854997364743,1.09867957720679,-1959.05021725277,1960.87775182734,0.613852339819771,0.160579533221623,1.06712514641792,0.66584073380557,0.212567927207422,1.11911354040372,0.864641225773269,0.677588985282032,1.05169346626451,5,2500
8,ATE_intercept,0.960976352426997,0.770087160022241,1.15186554483175,0.768658704439861,1.15329400041413,-1959.00300818763,1960.92496089248,0.943459648365243,0.752203633427685,1.1347156633028,0.751472691553464,1.13544660517702,-1959.02052489169,1960.90744418842,2.19687440510119,0.220555814896201,4.17319299530618,2.30899801779026,0.332679427585274,4.28531660799525,0.951458163465016,0.755852987307271,1.14706333962276,5,2500
9,ATE_intercept,0.957665535612202,0.761415184416096,1.15391588680831,0.760146994474958,1.15518407674945,-1959.00631900444,1960.92165007567,0.959368279473455,0.762082491226051,1.15665406772086,0.76088801539885,1.15784854354806,-1959.00461626058,1960.92335281953,0.460477248720159,-0.673527008227303,1.59448150566762,0.470252387570918,-0.663751869376544,1.60425664451838,0.937367090742685,0.737830842065066,1.1369033394203,5,2500
10,ATE_intercept,1.1327333572857,0.941173229572846,1.32429348499856,0.940130349914035,1.32533636465737,-1958.83125118277,1961.09671789734,1.13245941136147,0.940899159912865,1.32401966281008,0.939778349926499,1.32514047279645,-1958.83152512869,1961.09644395141,2.05772981542764,0.307789844184051,3.80766978667124,2.18643296683292,0.436492995589327,3.93637293807651,1.13529955588589,0.94387275072748,1.32672636104431,5,2500
11,ATE_intercept,1.11165952702043,0.921635674953792,1.30168337908706,0.920755487261473,1.30256356677938,-1958.85232501303,1961.07564406707,1.10554907613937,0.915272840369795,1.29582531190894,0.914468609966391,1.29662954231235,-1958.85843546391,1961.06953361619,1.20961300496442,0.870727329610008,1.54849868031882,1.19881616711804,0.85993049176363,1.53770184247245,1.10959787490235,0.916632864673286,1.30256288513141,5,2500
12,ATE_intercept,1.19424320589743,0.998710767607465,1.3897756441874,0.996644946999368,1.3918414647955,-1958.76974133416,1961.15822774595,1.19853740582648,1.00528206447918,1.39179274717378,1.0039543702232,1.39312044142976,-1958.76544713423,1961.16252194588,1.9066535674386,0.823908676706899,2.98939845817031,1.88957997493975,0.80683508420804,2.97232486567145,1.20248649527553,1.0103327202862,1.39464027026486,5,2500
13,ATE_intercept,0.917152930237808,0.731219087246744,1.10308677322887,0.730131197110603,1.10417466336501,-1959.04683160982,1960.88113747029,0.87827269694497,0.692490744909069,1.06405464898087,0.691780723798037,1.0647646700919,-1959.08571184311,1960.842257237,0.849724974489672,0.641347827647953,1.05810212133139,0.854828674486837,0.646451527645118,1.06320582132856,0.924279758654201,0.736718526859398,1.111840990449,5,2500
14,ATE_intercept,1.03577305068358,0.844499430660075,1.22704667070708,0.843613454060933,1.22793264730622,-1958.92821148937,1960.99975759074,1.01944001261294,0.827526622191996,1.21135340303388,0.826754331786298,1.21212569343958,-1958.94454452744,1960.98342455267,1.25635129996617,1.00443667450104,1.50826592543129,1.21631469047767,0.964400065012538,1.46822931594279,1.08954906710015,0.896389381877436,1.28270875232287,5,2500
15,ATE_intercept,0.953704011416786,0.759266076405052,1.14814194642852,0.758128429228034,1.14927959360554,-1959.01028052864,1960.91768855147,0.950160714063909,0.755539436724584,1.14478199140323,0.754519443201696,1.14580198492612,-1959.01382382599,1960.91414525412,0.945197998304858,0.7309192932624,1.15947670334732,0.945927435329291,0.731648730286833,1.16020614037175,0.949309699081374,0.753396946341508,1.14522245182124,5,2500
16,ATE_intercept,0.833272472127874,0.630851383733175,1.03569356052257,0.629790512065486,1.03675443219026,-1959.13071206793,1960.79725701218,0.856399625417312,0.65572257300197,1.05707667783265,0.654833723241859,1.05796552759277,-1959.10758491464,1960.82038416547,0.91275770274322,0.670009402959023,1.15550600252742,0.903956934935347,0.661208635151151,1.14670523471954,0.92829489110015,0.725835740438097,1.1307540417622,5,2500
17,ATE_intercept,0.945928624265818,0.758600998371995,1.13325625015964,0.757428652942322,1.13442859558931,-1959.01805591579,1960.90991316432,0.93675006263149,0.750984262756231,1.12251586250675,0.750199096371327,1.12330102889165,-1959.02723447742,1960.90073460268,1.04182860323918,0.830442150350765,1.25321505612759,1.01994394722698,0.808557494338572,1.23133040011539,0.892848902214335,0.705743275341555,1.07995452908711,5,2500
18,ATE_intercept,0.952165276970289,0.762219993007179,1.1421105609334,0.760915039360308,1.14341551458027,-1959.01181926308,1960.91614981702,0.929882872279815,0.741243437497722,1.11852230706191,0.740446125273632,1.119319619286,-1959.03410166777,1960.89386741233,0.841385654794126,0.591049445392405,1.09172186419585,0.861213794589051,0.610877585187331,1.11155000399077,0.883358272757023,0.696986938932592,1.06972960658145,5,2500
19,ATE_intercept,0.896153632995389,0.703007878892397,1.08929938709838,0.700245695201769,1.09206157078901,-1959.06783090706,1960.86013817305,0.917362847866524,0.723705605503425,1.11102009022962,0.722097813017561,1.11262788271549,-1959.04662169219,1960.88134738792,1.48326525603522,1.03923998472571,1.92729052734473,1.43082989307402,0.986804621764508,1.87485516438353,0.878637299539447,0.686374884857615,1.07089971422128,5,2500
20,ATE_intercept,0.941930836010459,0.751095090797531,1.13276658122339,0.750056154776591,1.13380551724433,-1959.02205370404,1960.90591537606,0.94973188083609,0.758910534083395,1.14055322758878,0.757949211390941,1.14151455028124,-1959.01425265922,1960.91371642089,1.57421949273855,0.791117278992862,2.35732170648424,1.51228490269501,0.729182688949314,2.2953871164407,1.00601105887541,0.812664766774456,1.19935735097636,5,2500
21,ATE_intercept,0.763524538254755,0.56074971231898,0.966299364190531,0.558858038420201,0.96819103808931,-1959.2004600018,1960.72750907831,0.751522100922892,0.549581756109295,0.953462445736488,0.548111891905392,0.954932309940391,-1959.21246243913,1960.71550664098,1.5734444989951,-0.134267546412893,3.28115654440309,1.46614560770946,-0.241566437698525,3.17385765311745,0.783467931351516,0.589041004519327,0.977894858183706,5,2500
22,ATE_intercept,0.968974636069246,0.772451847281738,1.16549742485675,0.771302001723718,1.16664727041477,-1958.99500990398,1960.93295917612,0.965642754988585,0.770301700775358,1.16098380920181,0.769594652621037,1.16169085735613,-1958.99834178506,1960.92962729504,1.4066618358656,0.967647190883215,1.84567648084798,1.32985660138897,0.890841956406585,1.76887124637135,0.913358305009477,0.715666887526914,1.11104972249204,5,2500
23,ATE_intercept,1.04632076541992,0.849602524951965,1.24303900588787,0.848371410592587,1.24427012024725,-1958.91766377463,1961.01030530547,1.02591387451755,0.830682002344225,1.22114574669088,0.829658808745865,1.22216894028924,-1958.93807066554,1960.98989841457,0.871312481282406,0.578886902151331,1.16373806041348,0.89693178729855,0.604506208167475,1.18935736642963,1.00202457484831,0.804789339817316,1.19925980987931,5,2500
