iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,1.85021666461991,1.6603172285583,2.04011610068151,1.65524708534914,2.04518624389068,-1958.11376787543,1961.81420120467,1.97515215841733,1.81910976966192,2.13119454717274,1.94058654236961,1.7845441536142,2.09662893112502,1.97350141930886,1.74196761382018,2.20503522479755,8,3000
2,ATE_intercept,1.83396694950862,1.64968703717157,2.01824686184567,1.64436678868199,2.02356711033524,-1958.13001759054,1961.79795148956,1.95678233575086,0.820182476823099,3.09338219467863,1.96353802818614,0.826938169258378,3.10013788711391,1.85926003458471,1.63247372896039,2.08604634020903,8,3000
3,ATE_intercept,1.95513631844818,1.76905645185527,2.14121618504109,1.76408828769672,2.14618434919963,-1958.00884822161,1961.9191208585,1.82586144163577,1.60893543581457,2.04278744745697,1.85776572608891,1.64083972026771,2.07469173191011,2.02447776319631,1.79673668230291,2.25221884408972,8,3000
4,ATE_intercept,1.79327123731019,1.60112021602695,1.98542225859342,1.59469491881116,1.99184755580921,-1958.17071330274,1961.75725577736,0.942146028626965,-0.38371546784351,2.26800752509744,1.06757253754912,-0.258288958921353,2.3934340340196,1.97349828086732,1.73891866374793,2.20807789798671,8,3000
5,ATE_intercept,1.79348241356573,1.60726411302641,1.97970071410505,1.60144694777074,1.98551787936072,-1958.17050212649,1961.75746695362,2.09710275477056,1.55364056318577,2.64056494635536,2.01870286111929,1.4752406695345,2.56216505270409,1.69232159921626,1.4608694775268,1.92377372090572,8,3000
6,ATE_intercept,1.55588981936199,1.36708048254669,1.74469915617728,1.361903073689,1.74987656503497,-1958.40809472069,1961.51987435942,1.64705760923561,1.46297027488067,1.83114494359055,1.62101646640818,1.43692913205324,1.80510380076312,1.59774308310013,1.36634754182142,1.82913862437883,8,3000
7,ATE_intercept,1.52739544807166,1.3441757384112,1.71061515773212,1.33911847779236,1.71567241835096,-1958.43658909198,1961.49137998813,1.62624505311025,1.32345403001606,1.92903607620444,1.60003546689676,1.29724444380257,1.90282648999095,1.6198661303308,1.39006895226917,1.84966330839243,8,3000
8,ATE_intercept,1.94623818494491,1.75859977914138,2.13387659074844,1.7550952210352,2.13738114885461,-1958.01774635511,1961.910222725,2.0580759046897,1.88891095716705,2.22724085221235,2.02315114944766,1.85398620192501,2.19231609697031,2.12392297863493,1.89277260364059,2.35507335362926,8,3000
9,ATE_intercept,1.90441559770436,1.71214082623563,2.09669036917308,1.70693786370512,2.1018933317036,-1958.05956894235,1961.86840013776,1.63714706762653,1.21334406055007,2.060950074703,1.67795220121805,1.25414919414159,2.10175520829452,2.10835262602286,1.87181807478815,2.34488717725757,8,3000
10,ATE_intercept,1.74823239438525,1.56539598568021,1.93106880309029,1.55998451531802,1.93648027345248,-1958.21575214567,1961.71221693444,1.87306518013468,1.67798199617532,2.06814836409404,1.84316211145169,1.64807892749233,2.03824529541105,1.73596632987469,1.51265781919198,1.95927484055741,8,3000
