estimate,CI,cover_true,cover_approx,se,trueATE,approxATE,DR_estimate,DR_se,DR_CI,DR_cover_true,DR_cover_approx,iter,n
0.30714934447833,0.243004784657619,1,1,0.0327274176090351,0.249906771710341,0.248688247622007,0.345885284519975,0.0724029327440386,0.203978143966583,1,1,1,3000
0.230984859341175,0.371293904299041,1,1,0.0330559072682975,0.249906771710341,0.248688247622007,-0.486208496097476,0.293936492250827,0.487792425073366,0,0,2,3000
0.290476168884894,0.166196471619016,1,1,0.0324036192484314,0.249906771710341,0.248688247622007,0.37553836744459,0.13709743363771,-1.06231343465113,1,1,3,3000
0.256623370606673,0.295773247063334,1,1,0.0319096362062066,0.249906771710341,0.248688247622007,-0.682685077282651,0.658042961087586,0.089896442456181,1,1,4,3000
0.294122101007111,0.226966242189219,1,1,0.0328656164283468,0.249906771710341,0.248688247622007,0.276737592499657,0.0435865572655386,0.106832335141807,1,1,5,3000
0.266131504270907,0.353986095580568,1,1,0.0320601499703683,0.249906771710341,0.248688247622007,0.25848885100662,0.0408652546611449,0.644244399747372,1,1,6,3000
0.223084962546552,0.194081632882733,1,1,0.0328248783261513,0.249906771710341,0.248688247622007,0.222452424251976,0.0298907375400038,-1.97242558129441,1,1,7,3000
0.271814275646474,0.319165108330614,1,1,0.0313765097531215,0.249906771710341,0.248688247622007,-0.100607952794019,0.367457538705954,0.60705542672911,1,1,8,3000
0.274153762795262,0.229706676477843,1,1,0.0336300112772651,0.249906771710341,0.248688247622007,0.226102512268756,0.0863834980502386,0.191309510049109,1,1,9,3000
0.253810791151636,0.358537525536378,1,1,0.0347378430762801,0.249906771710341,0.248688247622007,-0.162971494492522,0.696765802946171,0.362165674950205,1,1,10,3000
0.280086354160083,0.203294764990032,1,1,0.032079158807088,0.249906771710341,0.248688247622007,0.299117178542293,0.0295475342943663,0.178394423651718,1,1,11,3000
0.20540010626285,0.328968243551781,1,1,0.0332046739119916,0.249906771710341,0.248688247622007,0.227985038989445,0.0636680397558637,0.338583278361521,1,1,12,3000
0.198923893005204,0.158749383230386,1,1,0.0355759917982419,0.249906771710341,0.248688247622007,0.0807101175411644,0.577815084026985,0.163867655202229,1,1,13,3000
0.303572115405163,0.287420541862718,1,1,0.0339261303421034,0.249906771710341,0.248688247622007,0.0311416358921581,0.498889315122881,0.281037193301722,1,1,14,3000
0.301425028383048,0.210317446569787,1,1,0.03146001848879,0.249906771710341,0.248688247622007,0.197166603266606,0.132481963262549,-0.820811494505422,1,1,15,3000
0.251197119265394,0.333311104723162,1,1,0.0304929824150308,0.249906771710341,0.248688247622007,0.433631537562954,0.45379144916266,0.619595588917384,1,1,16,3000
0.187813612287188,0.208240151892147,1,1,0.0326148720338765,0.249906771710341,0.248688247622007,0.195597877355701,0.0401361847694344,0.0567939672317027,1,1,17,3000
0.299331646248665,0.340067373698378,1,1,0.0315799795003224,0.249906771710341,0.248688247622007,0.39339287905198,0.488978814934614,0.39541105730581,1,1,18,3000
0.270694015016505,0.185725869821523,1,1,0.0314367456103269,0.249906771710341,0.248688247622007,-0.113282076220377,0.400896774303635,-1.52860737392615,1,1,19,3000
0.310195807045636,0.32189571248175,1,0,0.0309368013488616,0.249906771710341,0.248688247622007,0.856277323340508,0.584903949814998,1.20266438494111,1,1,20,3000
0.317413072004401,0.217212358243849,0,0,0.0307853674219883,0.249906771710341,0.248688247622007,0.384689242039776,0.214070880193906,0.241205075493373,1,1,21,3000
0.280695800869559,0.342960350076316,1,1,0.0315601468095711,0.249906771710341,0.248688247622007,0.316136559647161,0.569333306871997,0.357029281591213,1,1,22,3000
0.254007078968367,0.140320141276949,1,1,0.0321030912279265,0.249906771710341,0.248688247622007,0.258654247547048,0.0324842316281303,0.103197974101688,1,1,23,3000
0.23908107532255,0.27048007124875,1,1,0.0303743296896959,0.249906771710341,0.248688247622007,0.678731078932558,0.423024367255883,0.352772103877202,1,1,24,3000
0.225345898135365,0.129196230366358,1,1,0.0351073794063212,0.249906771710341,0.248688247622007,-0.0861654917759564,0.503152621521877,-1.05178663687571,1,1,25,3000
0.291824320842229,0.268651555644051,1,1,0.033302981684404,0.249906771710341,0.248688247622007,1.62130126714508,0.653899063780753,1.21320687195804,0,0,26,3000
0.231849505665387,0.237078121799828,1,1,0.0314222553517385,0.249906771710341,0.248688247622007,0.297319195496229,0.344508016489612,-0.946663454020543,1,1,27,3000
0.276896523189201,0.370066109010497,1,1,0.0349414739358174,0.249906771710341,0.248688247622007,0.178420682581007,0.305870935671776,1.00894672580486,1,1,28,3000
0.282404518086674,0.239764525192056,1,1,0.0327656420231321,0.249906771710341,0.248688247622007,-0.104988601744427,0.315790148910297,-0.0624932733291478,1,1,29,3000
0.252286893022475,0.363085531574041,1,1,0.0317120901073674,0.249906771710341,0.248688247622007,-0.0388832412139292,0.329129986543423,0.45682647986236,1,1,30,3000
0.282480352574328,0.19143197195072,1,1,0.0328518863393001,0.249906771710341,0.248688247622007,0.270377304650743,0.0673368110207005,-0.455783359288099,1,1,31,3000
