iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,1.83773162466502,1.66158425878126,2.01387899054878,1.65719817578742,2.01826507354263,-1958.12625291539,1961.80171616472,1.81068631194007,1.51436225195531,2.10701037192483,1.81256154794535,1.51623748796059,2.1088856079301,1.97490904277703,1.75473258890582,2.19508549664823,5,3000
2,ATE_intercept,1.86664767656302,1.68683545037381,2.04645990275224,1.68232584002148,2.05096951310457,-1958.09733686349,1961.83063221662,1.61621867295876,0.995706519004637,2.23673082691288,1.64054300828973,1.02003085433561,2.26105516224385,1.94409421811259,1.72302427458962,2.16516416163557,5,3000
3,ATE_intercept,1.8007510377338,1.62761484320445,1.97388723226316,1.62324157455118,1.97826050091643,-1958.16323350232,1961.76473557779,1.32008405320854,0.904749424636461,1.73541868178061,1.31665150955762,0.901316880985541,1.73198613812969,1.96262995489656,1.74608777893173,2.17917213086138,5,3000
4,ATE_intercept,1.83179085571848,1.64849913129998,2.01508258013697,1.64220126902114,2.02138044241581,-1958.13219368433,1961.79577539577,1.9356294981261,1.70672442957268,2.16453456667951,1.91367566227887,1.68477059372546,2.14258073083229,1.79304584206588,1.56564395024763,2.02044773388413,5,3000
5,ATE_intercept,1.88554653030301,1.70110865919315,2.06998440141286,1.69568333158431,2.07540972902171,-1958.07843800975,1961.84953107036,1.65415244768998,1.0771394771462,2.23116541823376,1.66704150247418,1.0900285319304,2.24405447301796,1.90460341418294,1.68325955895209,2.12594726941378,5,3000
6,ATE_intercept,1.91162002503626,1.73468689689551,2.08855315317702,1.73106975012489,2.09217029994763,-1958.05236451502,1961.87560456509,1.74354306345,1.43556334913162,2.05152277776837,1.75915887501356,1.45117916069518,2.06713858933193,2.06934137495734,1.84845098222235,2.29023176769233,5,3000
7,ATE_intercept,1.96990194389355,1.79441195598071,2.14539193180638,1.79054394342964,2.14925994435745,-1957.99408259616,1961.93388648395,1.46355968547481,-0.94002204811488,3.8671414190645,1.34094608912953,-1.06263564446016,3.74452782271922,2.03800089153947,1.82314435905238,2.25285742402656,5,3000
8,ATE_intercept,1.82033566422876,1.64442946666768,1.99624186178984,1.6382554513111,2.00241587714642,-1958.14364887582,1961.78432020428,2.01703237417813,1.59951937440937,2.43454537394689,2.00366175652562,1.58614875675687,2.42117475629438,1.75514430060685,1.53513658697527,1.97515201423844,5,3000
9,ATE_intercept,1.82107130483354,1.64137973120808,2.00076287845901,1.63706639545724,2.00507621420985,-1958.14291323522,1961.78505584489,1.76706065290847,1.5339432915242,2.00017801429275,1.76899847808858,1.5358811167043,2.00211583947285,1.94565074373047,1.72540371199803,2.1658977754629,5,3000
10,ATE_intercept,1.79792970594717,1.61960138629913,1.97625802559521,1.61560731968721,1.98025209220713,-1958.16605483411,1961.761914246,1.92875232989208,1.50112264578674,2.35638201399741,1.93217655330547,1.50454686920013,2.35980623741081,1.93233806504673,1.70993139089582,2.15474473919763,5,3000
