estimate,CI,cover_true,cover_approx,se,trueATE,approxATE,DR_estimate,DR_se,DR_CI,DR_cover_true,DR_cover_approx,iter,n
-0.00890668647075412,-0.191852730319654,1,1,0.0933415334628368,-0.00127635600003984,0.0188383017218344,-0.03598655228882,0.083422992213606,-0.199492612510053,1,1,1,500
0.111362480828868,0.174039357378146,1,1,0.0922305877139626,-0.00127635600003984,0.0188383017218344,0.0827854984417127,0.0681438075438875,0.127519507932413,1,1,2,500
0.119535820746197,-0.0694061493634614,1,1,0.10574455457611,-0.00127635600003984,0.0188383017218344,0.0354254166403716,0.0740666075886249,-0.0507739101137355,1,1,3,500
0.168745690008009,0.292131111021197,1,1,0.0964723402109913,-0.00127635600003984,0.0188383017218344,0.133655389009304,0.0817842008361324,0.216344906997161,1,1,4,500
0.00476297397219258,-0.0877196977842088,1,1,0.0995533765730884,-0.00127635600003984,0.0188383017218344,-0.0170334079474214,0.0851932535482527,-0.109742466690394,1,1,5,500
0.284716483386212,0.326791339276603,0,0,0.0801144143581976,-0.00127635600003984,0.0188383017218344,0.218134298319658,0.0715709821664881,0.180593299971137,0,0,6,500
0.0619403783907738,-0.0203366223098287,1,1,0.0726159168828658,-0.00127635600003984,0.0188383017218344,0.0338586713954342,0.0610823460925182,-0.0266386991339061,1,1,7,500
-0.0562086989905258,0.357828002325848,1,1,0.100743543448359,-0.00127635600003984,0.0188383017218344,-0.0948106362268048,0.0767864072580599,0.293949477152514,1,1,8,500
-0.0633175987422652,-0.190358058650414,1,1,0.0868057757772882,-0.00127635600003984,0.0188383017218344,-0.102461495640468,0.0755474278601875,-0.184009116627786,1,1,9,500
0.0875427444866272,0.199884006594799,1,1,0.0934549003273369,-0.00127635600003984,0.0188383017218344,0.0239378440513439,0.0786349617316965,0.149942300732943,1,1,10,500
0.00846633050556001,0.127695116601627,1,1,0.0951399342409541,-0.00127635600003984,0.0188383017218344,0.00945942031235709,0.085177050984035,0.0778577509351827,1,1,11,500
0.153678474879176,0.441737850170798,1,1,0.0873308891710511,-0.00127635600003984,0.0188383017218344,0.109054133035813,0.0735808700029263,0.358410845704133,1,1,12,500
0.0214716487692534,-0.0803842034039971,1,1,0.0793932218614638,-0.00127635600003984,0.0188383017218344,-0.0192738821951237,0.0608826709443342,-0.0858605270371123,1,1,13,500
-0.132104353836888,0.204264960185545,1,1,0.0804708734320913,-0.00127635600003984,0.0188383017218344,-0.139539808825298,0.0681426806715839,0.153577869827981,0,0,14,500
0.0360049938873957,-0.253662415824256,1,1,0.0902235708877722,-0.00127635600003984,0.0188383017218344,-0.011787427098729,0.0680079987169224,-0.245309228954827,1,1,15,500
0.0584087904388115,0.141245017843204,1,1,0.0959500920166029,-0.00127635600003984,0.0188383017218344,-0.00368589488965879,0.0783789246909449,0.0556879565012176,1,1,16,500
0.0099711720775999,-0.233453792915809,1,1,0.113314302254281,-0.00127635600003984,0.0188383017218344,-0.0594235783410725,0.0754664378596713,-0.250531733371073,1,1,17,500
0.234586069559979,0.106818595431279,0,0,0.100876622040856,-0.00127635600003984,0.0188383017218344,0.182466146777388,0.080269985715778,0.0456087420901373,0,0,18,500
-0.164597886623763,-0.0956254943337336,1,0,0.0838346312891694,-0.00127635600003984,0.0188383017218344,-0.184819005987405,0.0743185368186399,-0.130183848868467,0,0,19,500
