iter,name,estimate,CI_left,CI_right,CI_df_left,CI_df_right,CI_boot_left,CI_boot_right,estimate_relaxed,CI_left_relaxed,CI_right_relaxed,CI_df_left_relaxed,CI_df_right_relaxed,CI_boot_left_relaxed,CI_boot_right_relaxed,estimate_tmle,CI_left_tmle,CI_right_tmle,estimate_aipw,CI_left_aipw,CI_right_aipw,estimate_lm,CI_left_lm,CI_right_lm,const,n
1,ATE_intercept,1.09441308060178,0.952835517814348,1.23599064338922,0.952394575927272,1.23643158527629,-1958.86957145945,1961.05839762066,1.05554455447082,0.91462299584942,1.19646611309222,0.914283561655669,1.19680554728597,-1958.90843998558,1961.01952909452,0.948094229981218,0.756723813484954,1.13946464647748,0.975728932205106,0.784358515708842,1.16709934870137,1.09060158069327,0.949885191019293,1.23131797036725,8,5000
2,ATE_intercept,0.937015160278688,0.796075406732445,1.07795491382493,0.795493975487212,1.07853634507016,-1959.02696937977,1960.90099970033,0.925429217159722,0.784761166643683,1.06609726767576,0.784294651552985,1.06656378276646,-1959.03855532289,1960.88941375721,0.992233441392242,0.880111245080666,1.10435563770382,0.971809853456834,0.859687657145258,1.08393204976841,0.946859096747318,0.806081126930108,1.08763706656453,8,5000
3,ATE_intercept,0.965291604753517,0.823085699917368,1.10749750958967,0.822728846395589,1.10785436311145,-1958.9986929353,1960.92927614481,0.961687530468032,0.819232521209649,1.10414253972642,0.818860687403695,1.10451437353237,-1959.00229700959,1960.92567207052,0.913732796423294,0.678595060741468,1.14887053210512,0.923287102078052,0.688149366396226,1.15842483775988,0.966450330091657,0.822183937036894,1.11071672314642,8,5000
4,ATE_intercept,1.0855864168079,0.942978802422344,1.22819403119346,0.942376050435045,1.22879678318076,-1958.87839812325,1961.04957095686,1.0934823839599,0.952440424976584,1.23452434294321,0.952001151222138,1.23496361669766,-1958.87050215609,1961.05746692401,0.958081142449607,0.691469017962927,1.22469326693629,0.974731095762237,0.708118971275558,1.24134322024892,1.07187168424192,0.929343438336297,1.21439993014754,8,5000
5,ATE_intercept,1.00890575585809,0.863927701152861,1.15388381056332,0.863417598354017,1.15439391336216,-1958.9550787842,1960.97289029591,1.01401706675086,0.869489051515291,1.15854508198642,0.869126370856622,1.15890776264509,-1958.9499674733,1960.9780016068,1.51103824902985,0.875458854924855,2.14661764313485,1.42689083719074,0.791311443085743,2.06247023129574,1.03804352551032,0.893103888450995,1.18298316256965,8,5000
6,ATE_intercept,1.02666216207749,0.880219586051047,1.17310473810394,0.879689528744299,1.17363479541069,-1958.93732237798,1960.99064670213,0.997331114596292,0.85183931759464,1.14282291159794,0.85145955721348,1.1432026719791,-1958.96665342546,1960.96131565465,1.13793874399634,0.999678033448236,1.27619945454444,1.09703599673733,0.958775286189225,1.23529670728543,0.998006414359793,0.852128250622941,1.14388457809664,8,5000
7,ATE_intercept,0.992539632096087,0.848242490951008,1.13683677324117,0.847691016411357,1.13738824778082,-1958.97144490796,1960.95652417215,0.996401835139016,0.853926935152199,1.13887673512583,0.853526322069882,1.13927734820815,-1958.96758270491,1960.96038637519,0.958193468728083,0.831830942871038,1.08455599458513,0.969046573556507,0.842684047699462,1.09540909941355,1.03387220706952,0.890368763549114,1.17737565058992,8,5000
8,ATE_intercept,0.900580925822007,0.757840087689193,1.04332176395482,0.757294561025434,1.04386729061858,-1959.06340361423,1960.86456546588,0.877447036803372,0.735727915622915,1.01916615798383,0.735429364703194,1.01946470890355,-1959.08653750325,1960.84143157686,0.715643979090138,0.530931099125388,0.900356859054888,0.751868755844987,0.567155875880238,0.936581635809737,0.891406865985164,0.749472385126577,1.03334134684375,8,5000
9,ATE_intercept,1.06369016760635,0.918824902520858,1.20855543269183,0.918359096607908,1.20902123860478,-1958.90029437245,1961.02767470766,1.06295287009524,0.918642885477212,1.20726285471326,0.918309823005572,1.2075959171849,-1958.90103166996,1961.02693741015,1.43312596328636,0.849128837697087,2.01712308887563,1.3445082617491,0.760511136159831,1.92850538733838,1.08184367805029,0.937621026713229,1.22606632938736,8,5000
10,ATE_intercept,0.988984019453654,0.846884902483432,1.13108313642388,0.846485346033494,1.13148269287381,-1958.9750005206,1960.95296855951,0.9903866523108,0.848280140492056,1.13249316412954,0.847851892875868,1.13292141174573,-1958.97359788774,1960.95437119236,0.64293522121279,0.225442199908837,1.06042824251674,0.712672206537894,0.295179185233941,1.13016522784185,0.98300308181283,0.84077795861918,1.12522820500648,8,5000
