estimate,CI,cover_true,cover_approx,se,trueATE,approxATE,DR_estimate,DR_se,DR_CI,DR_cover_true,DR_cover_approx,iter,n
0.855457979387516,0.808479572336249,1,1,0.0239690154624404,0.827054917164614,0.832833308135978,0.852238204066989,0.0218418257676442,0.809429012205808,1,1,1,1500
0.858812681808963,0.902436386438782,1,1,0.0255408225063353,0.827054917164614,0.832833308135978,0.854350429544783,0.0243993388151609,0.895047395928171,1,1,2,1500
0.855061257887775,0.808753589561016,1,1,0.0258978189862217,0.827054917164614,0.832833308135978,0.848892182267898,0.025002032737115,0.806528604220478,1,1,3,1500
0.832541984609643,0.90887177405691,1,1,0.0262883037214532,0.827054917164614,0.832833308135978,0.812009149004736,0.0248907870389109,0.902172254869089,1,1,4,1500
0.833630097398147,0.804302465396643,1,1,0.0254764734332279,0.827054917164614,0.832833308135978,0.825236513432781,0.0244196750349627,0.799889098562861,1,1,5,1500
0.883710430556864,0.905820050378907,0,0,0.0250187679945719,0.827054917164614,0.832833308135978,0.877674217580361,0.0231452891074683,0.897895265972935,0,1,6,1500
0.825458289245563,0.781017856100944,1,1,0.0239479115752079,0.827054917164614,0.832833308135978,0.812074723285923,0.023376796588962,0.763224102861615,1,1,7,1500
0.863671901026756,0.884066113118341,1,1,0.0251078885342073,0.827054917164614,0.832833308135978,0.84767824671733,0.0236940544243118,0.860794195147858,1,1,8,1500
0.842547928960545,0.783697127015928,1,1,0.0242224992198674,0.827054917164614,0.832833308135978,0.838151379936266,0.0228901246513122,0.777374829850083,1,1,9,1500
0.783123645644049,0.883563067780365,1,1,0.0265126037807525,0.827054917164614,0.832833308135978,0.779024197635289,0.025004245554167,0.87309819701548,1,0,10,1500
0.845185331301523,0.834674546349939,1,1,0.0255212897334419,0.827054917164614,0.832833308135978,0.840872102527234,0.0242695120660829,0.832310284517956,1,1,11,1500
0.829353357745861,0.932746314763788,1,1,0.026370845120392,0.827054917164614,0.832833308135978,0.81745606270952,0.0245403880689102,0.923038150642766,1,1,12,1500
0.829054058222186,0.778521245053206,1,1,0.0253459378685675,0.827054917164614,0.832833308135978,0.823964537138296,0.0245244830936353,0.766257043897639,1,1,13,1500
0.820879600056226,0.872395333437921,1,1,0.0248452916138407,0.827054917164614,0.832833308135978,0.817938571406505,0.0234941075595474,0.857892402674207,1,1,14,1500
0.811344531809282,0.814461343771863,1,1,0.0232484926668231,0.827054917164614,0.832833308135978,0.813340300563797,0.0227132984923123,0.801238753397947,1,1,15,1500
0.827889583239121,0.912882458281648,1,1,0.0248755467907455,0.827054917164614,0.832833308135978,0.824233691708123,0.0236188297935195,0.894117740036713,1,1,16,1500
0.850818718912348,0.795072702874055,1,1,0.0235572734370601,0.827054917164614,0.832833308135978,0.848370190173537,0.0216069550001467,0.793287560018062,1,1,17,1500
0.831372519613968,0.890023155047034,1,1,0.0247987553515053,0.827054917164614,0.832833308135978,0.827314321336579,0.022660437001463,0.88301519985447,1,1,18,1500
0.848246768780653,0.731159897097393,1,1,0.0253357223504824,0.827054917164614,0.832833308135978,0.840767599330088,0.0245427732130251,0.730016776888526,1,1,19,1500
0.883376073718546,0.835087394190704,0,0,0.0257576652762324,0.827054917164614,0.832833308135978,0.875974171671487,0.023322393942883,0.828031618382053,0,1,20,1500
0.863255563488565,0.795164522584965,1,1,0.0242762273300995,0.827054917164614,0.832833308135978,0.856394903873506,0.0227317471770872,0.793304732955351,1,1,21,1500
0.849141957962285,0.895206140018081,1,1,0.0245934517734376,0.827054917164614,0.832833308135978,0.846826958498838,0.0236612332586169,0.888439472099116,1,1,22,1500
0.807465546412046,0.777667451068009,1,1,0.0264098389519154,0.827054917164614,0.832833308135978,0.808527931665423,0.0256471829932344,0.76935778592782,1,1,23,1500
0.842481084720264,0.881039264423713,1,1,0.0237448293698738,0.827054917164614,0.832833308135978,0.84086270156301,0.0222333577285922,0.86555433949122,1,1,24,1500
0.883607251069045,0.779376932845404,0,0,0.0237385030259081,0.827054917164614,0.832833308135978,0.876754339983239,0.0223054360065511,0.775897433535309,0,0,25,1500
0.834421681890263,0.878731183598968,1,1,0.0251934869685647,0.827054917164614,0.832833308135978,0.828290426658741,0.0239287778853846,0.872031640741282,1,1,26,1500
0.825328238647867,0.772183723307703,1,1,0.0259790325179829,0.827054917164614,0.832833308135978,0.821174402557401,0.0242327230418854,0.771890966740882,1,1,27,1500
0.850463683388726,0.869575476804749,1,1,0.0237870513620183,0.827054917164614,0.832833308135978,0.843519802570299,0.0224127088465014,0.863986176072128,1,1,28,1500
0.823703945146604,0.765778323487465,1,1,0.0244966013236902,0.827054917164614,0.832833308135978,0.815086996778048,0.0229874454665468,0.768823053548757,1,1,29,1500
0.859900684569077,0.856910740131098,1,1,0.0241471161199491,0.827054917164614,0.832833308135978,0.854977693220233,0.0227215440967695,0.857857547578838,1,1,30,1500
0.878122481899045,0.779134407433519,1,1,0.026404727473377,0.827054917164614,0.832833308135978,0.866983695068158,0.0243200482782323,0.777941635955843,1,1,31,1500
0.823675755199533,0.876644759044723,1,1,0.0247022308307116,0.827054917164614,0.832833308135978,0.817517995536339,0.0229298102835324,0.870525747460403,1,1,32,1500
0.852193577322795,0.804647311401748,1,1,0.0237056028991507,0.827054917164614,0.832833308135978,0.84733992325199,0.0230883694182124,0.806021336557672,1,1,33,1500
0.809608756972935,0.896990126422948,1,1,0.0259349883976018,0.827054917164614,0.832833308135978,0.807635008856434,0.0234493822349528,0.890719043789402,1,1,34,1500
